#,Name,Type,Category,PP,Power,Accuracy,Gen
0,Pound,Normal,Physical,35,40,100%,1
1,Karate Chop,Fighting,Physical,25,50,100%,1
2,Double Slap,Normal,Physical,10,15,85%,1
3,Comet Punch,Normal,Physical,15,18,85%,1
4,Mega Punch,Normal,Physical,20,80,85%,1
5,Pay Day,Normal,Physical,20,40,100%,1
6,Fire Punch,Fire,Physical,15,75,100%,1
7,Ice Punch,Ice,Physical,15,75,100%,1
8,Thunder Punch,Electric,Physical,15,75,100%,1
9,Scratch,Normal,Physical,35,40,100%,1
10,Vise Grip,Normal,Physical,30,55,100%,1
11,Guillotine,Normal,Physical,5,infinite,30%,1
12,Razor Wind,Normal,Special,10,80,100%,1
13,Swords Dance,Normal,Status,20,Null,Null,1
14,Cut,Normal,Physical,30,50,95%,1
15,Gust,Flying,Special,35,40,100%,1
16,Wing Attack,Flying,Physical,35,60,100%,1
17,Whirlwind,Normal,Status,20,Null,infinite,1
18,Fly,Flying,Physical,15,90,95%,1
19,Bind,Normal,Physical,20,15,85%,1
20,Slam,Normal,Physical,20,80,75%,1
21,Vine Whip,Grass,Physical,25,45,100%,1
22,Stomp,Normal,Physical,20,65,100%,1
23,Double Kick,Fighting,Physical,30,30,100%,1
24,Mega Kick,Normal,Physical,5,120,75%,1
25,Jump Kick,Fighting,Physical,10,100,95%,1
26,Rolling Kick,Fighting,Physical,15,60,85%,1
27,Sand Attack,Ground,Status,15,Null,100%,1
28,Headbutt,Normal,Physical,15,70,100%,1
29,Horn Attack,Normal,Physical,25,65,100%,1
30,Fury Attack,Normal,Physical,20,15,85%,1
31,Horn Drill,Normal,Physical,5,infinite,30%,1
32,Tackle,Normal,Physical,35,40,100%,1
33,Body Slam,Normal,Physical,15,85,100%,1
34,Wrap,Normal,Physical,20,15,90%,1
35,Take Down,Normal,Physical,20,90,85%,1
36,Thrash,Normal,Physical,10,120,100%,1
37,Double-Edge,Normal,Physical,15,120,100%,1
38,Tail Whip,Normal,Status,30,Null,100%,1
39,Poison Sting,Poison,Physical,35,15,100%,1
40,Twineedle,Bug,Physical,20,25,100%,1
41,Pin Missile,Bug,Physical,20,25,95%,1
42,Leer,Normal,Status,30,Null,100%,1
43,Bite,Dark,Physical,25,60,100%,1
44,Growl,Normal,Status,40,Null,100%,1
45,Roar,Normal,Status,20,Null,infinite,1
46,Sing,Normal,Status,15,Null,55%,1
47,Supersonic,Normal,Status,20,Null,55%,1
48,Sonic Boom,Normal,Special,20,Null,90%,1
49,Disable,Normal,Status,20,Null,100%,1
50,Acid,Poison,Special,30,40,100%,1
51,Ember,Fire,Special,25,40,100%,1
52,Flamethrower,Fire,Special,15,90,100%,1
53,Mist,Ice,Status,30,Null,Null,1
54,Water Gun,Water,Special,25,40,100%,1
55,Hydro Pump,Water,Special,5,110,80%,1
56,Surf,Water,Special,15,90,100%,1
57,Ice Beam,Ice,Special,10,90,100%,1
58,Blizzard,Ice,Special,5,110,70%,1
59,Psybeam,Psychic,Special,20,65,100%,1
60,Bubble Beam,Water,Special,20,65,100%,1
61,Aurora Beam,Ice,Special,20,65,100%,1
62,Hyper Beam,Normal,Special,5,150,90%,1
63,Peck,Flying,Physical,35,35,100%,1
64,Drill Peck,Flying,Physical,20,80,100%,1
65,Submission,Fighting,Physical,20,80,80%,1
66,Low Kick,Fighting,Physical,20,Null,100%,1
67,Counter,Fighting,Physical,20,Null,100%,1
68,Seismic Toss,Fighting,Physical,20,Null,100%,1
69,Strength,Normal,Physical,15,80,100%,1
70,Absorb,Grass,Special,25,20,100%,1
71,Mega Drain,Grass,Special,15,40,100%,1
72,Leech Seed,Grass,Status,10,Null,90%,1
73,Growth,Normal,Status,20,Null,Null,1
74,Razor Leaf,Grass,Physical,25,55,95%,1
75,Solar Beam,Grass,Special,10,120,100%,1
76,Poison Powder,Poison,Status,35,Null,75%,1
77,Stun Spore,Grass,Status,30,Null,75%,1
78,Sleep Powder,Grass,Status,15,Null,75%,1
79,Petal Dance,Grass,Special,10,120,100%,1
80,String Shot,Bug,Status,40,Null,95%,1
81,Dragon Rage,Dragon,Special,10,Null,100%,1
82,Fire Spin,Fire,Special,15,35,85%,1
83,Thunder Shock,Electric,Special,30,40,100%,1
84,Thunderbolt,Electric,Special,15,90,100%,1
85,Thunder Wave,Electric,Status,20,Null,90%,1
86,Thunder,Electric,Special,10,110,70%,1
87,Rock Throw,Rock,Physical,15,50,90%,1
88,Earthquake,Ground,Physical,10,100,100%,1
89,Fissure,Ground,Physical,5,infinite,30%,1
90,Dig,Ground,Physical,10,80,100%,1
91,Toxic,Poison,Status,10,Null,90%,1
92,Confusion,Psychic,Special,25,50,100%,1
93,Psychic,Psychic,Special,10,90,100%,1
94,Hypnosis,Psychic,Status,20,Null,60%,1
95,Meditate,Psychic,Status,40,Null,Null,1
96,Agility,Psychic,Status,30,Null,Null,1
97,Quick Attack,Normal,Physical,30,40,100%,1
98,Rage,Normal,Physical,20,20,100%,1
99,Teleport,Psychic,Status,20,Null,Null,1
100,Night Shade,Ghost,Special,15,Null,100%,1
101,Mimic,Normal,Status,10,Null,infinite,1
102,Screech,Normal,Status,40,Null,85%,1
103,Double Team,Normal,Status,15,Null,Null,1
104,Recover,Normal,Status,5,Null,Null,1
105,Harden,Normal,Status,30,Null,Null,1
