pokedex,name,type_1,type_2,hp,attack,defense,special-attack,special-defense,speed,total,generation
1,bulbasaur,grass,poison,45,49,49,65,65,45,318,1
2,ivysaur,grass,poison,60,62,63,80,80,60,405,1
3,venusaur,grass,poison,80,82,83,100,100,80,525,1
4,charmander,fire,Null,39,52,43,60,50,65,309,1
5,charmeleon,fire,Null,58,64,58,80,65,80,405,1
6,charizard,fire,flying,78,84,78,109,85,100,534,1
7,squirtle,water,Null,44,48,65,50,64,43,314,1
8,wartortle,water,Null,59,63,80,65,80,58,405,1
9,blastoise,water,Null,79,83,100,85,105,78,530,1
10,caterpie,bug,Null,45,30,35,20,20,45,195,1
11,metapod,bug,Null,50,20,55,25,25,30,205,1
12,butterfree,bug,flying,60,45,50,90,80,70,395,1
13,weedle,bug,poison,40,35,30,20,20,50,195,1
14,kakuna,bug,poison,45,25,50,25,25,35,205,1
15,beedrill,bug,poison,65,90,40,45,80,75,395,1
16,pidgey,normal,flying,40,45,40,35,35,56,251,1
17,pidgeotto,normal,flying,63,60,55,50,50,71,349,1
18,pidgeot,normal,flying,83,80,75,70,70,101,479,1
19,rattata,normal,Null,30,56,35,25,35,72,253,1
20,raticate,normal,Null,55,81,60,50,70,97,413,1
21,spearow,normal,flying,40,60,30,31,31,70,262,1
22,fearow,normal,flying,65,90,65,61,61,100,442,1
23,ekans,poison,Null,35,60,44,40,54,55,288,1
24,arbok,poison,Null,60,95,69,65,79,80,448,1
25,pikachu,electric,Null,35,55,40,50,50,90,320,1
26,raichu,electric,Null,60,90,55,90,80,110,485,1
27,sandshrew,ground,Null,50,75,85,20,30,40,300,1
28,sandslash,ground,Null,75,100,110,45,55,65,450,1
29,nidoran-f,poison,Null,55,47,52,40,40,41,275,1
30,nidorina,poison,Null,70,62,67,55,55,56,365,1
31,nidoqueen,poison,ground,90,92,87,75,85,76,505,1
32,nidoran-m,poison,Null,46,57,40,40,40,50,273,1
33,nidorino,poison,Null,61,72,57,55,55,65,365,1
34,nidoking,poison,ground,81,102,77,85,75,85,505,1
35,clefairy,fairy,Null,70,45,48,60,65,35,323,1
36,clefable,fairy,Null,95,70,73,95,90,60,483,1
37,vulpix,fire,Null,38,41,40,50,65,65,299,1
38,ninetales,fire,Null,73,76,75,81,100,100,505,1
39,jigglypuff,normal,fairy,115,45,20,45,25,20,270,1
40,wigglytuff,normal,fairy,140,70,45,85,50,45,435,1
41,zubat,poison,flying,40,45,35,30,40,55,245,1
42,golbat,poison,flying,75,80,70,65,75,90,455,1
43,oddish,grass,poison,45,50,55,75,65,30,320,1
44,gloom,grass,poison,60,65,70,85,75,40,395,1
45,vileplume,grass,poison,75,80,85,110,90,50,490,1
46,paras,bug,grass,35,70,55,45,55,25,285,1
47,parasect,bug,grass,60,95,80,60,80,30,405,1
